Scan Id	Parent m/z	TIC	RT	MS Level	Parent Scan	Child Scans	Ion Injection Time	Cycle Time	Elapsed Time	Dead Time	Time To Next Scan	Lock Mass Found	Lock Mass Shift	Conversion Parameter I	Conversion Parameter A	Conversion Parameter B	Conversion Parameter C	Conversion Parameter D	Conversion Parameter E	Dissociation Type	Polymer Segment Size	Polymer Offset	Polymer Score	Polymer p-value	Base Peak m/z	Base Peak Intensity	Second Peak m/z	Second Peak Intensity	Source Current (uA)	Vacuum Ion Gauge (E-5 Torr)	Vacuum Convectron Gauge (Torr)	FT Penning Gauge (E-10 Torr)	FT Pirani Gauge 1 (Torr)	Multiplier 1 (V)	Multiplier 2 (V)	FT CE Measure Voltage (V)	FT Analyzer Temp (C)
8239	542.37	7787371	31.318424	2	8237	0	42.073	0	0	0.08274	0.08274	0	0	0	0	67818123.6451	31643826.7631	0	0	hcd	30	0	0	1	133.087028473	561236.125	353.129658751	299509.71875	0	0	0	0	0	0	0	0	0
8240	682.96	5929151	31.319803	2	8237	0	50	0	0	0.0819	0.0819	0	0	0	0	67818129.4181	31643832.1493	0	0	hcd	30	0	0	1	133.087221792	519663.5	681.41912305	332333.125	0	0	0	0	0	0	0	0	0
8241	547.37	7811584	31.321168	2	8237	0	50	0	0	0.08292	0.08292	0	0	0	0	67818118.473	31643821.9349	0	0	hcd	30	0	0	1	549.344761039	467368.90625	283.950411414	359696.875	0	0	0	0	0	0	0	0	0
8242	701.45	7447174	31.32255	2	8237	0	50	0	0	0.09912	0.09912	0	0	0	0	67818123.4335	31643826.5644	0	0	hcd	30	0	0	1	149.024757859	368175.875	353.129046117	346927.96875	0	0	0	0	0	0	0	0	0
8243		1008133700	31.324202	1		0	0.238	0.32664	0	0.32664	0.32664	0	0	0	0	67818048.226	31643756.3811	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8244		1074787500	31.329646	1		5	0.303	0.7131	0	0.7131	0.28668	0	0	0	0	67818014.0953	31643724.5307	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8245	456.89	14948206	31.334424	2	8244	0	50	0	0	0.08274	0.08274	0	0	0	0	67818087.1662	31643792.7204	0	0	hcd	30	0	0	1	410.85156453	2074947.5	133.087157997	1172919.125	0	0	0	0	0	0	0	0	0
8246	698.49	10172962	31.335803	2	8244	0	50	0	0	0.0808200000002	0.0808200000002	0	0	0	0	67818112.7271	31643816.5748	0	0	hcd	43	7	44	8.60856521996e-007	413.27155885	897579.9375	699.476811043	614200.125	0	0	0	0	0	0	0	0	0
8247	449.97	9746564	31.33715	2	8244	0	50	0	0	0.08088	0.08088	0	0	0	0	67818103.6516	31643808.1051	0	0	hcd	72	48	45	4.776998796e-012	133.087183243	1197371	102.068988278	457337.8125	0	0	0	0	0	0	0	0	0
8248	417.92	14208493	31.338498	2	8244	0	50	0	0	0.08274	0.08274	0	0	0	0	67818089.5217	31643794.9184	0	0	hcd	30	0	0	1	127.113069296	1060325	89.0609291253	494124.09375	0	0	0	0	0	0	0	0	0
8249	693.43	8069118.5	31.339877	2	8244	0	50	0	0	0.0992399999999	0.0992399999999	0	0	0	0	67818120.7646	31643824.0748	0	0	hcd	30	0	0	1	149.024826311	722814.75	693.422077669	419730	0	0	0	0	0	0	0	0	0
8250		1206382200	31.341531	1		4	0.232	0.7101	0	0.7101	0.28656	0	0	0	0	67818032.8484	31643742.0319	0	0		-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8251	551.39	11397797	31.346307	2	8250	0	50	0	0	0.1575	0.1575	0	0	0	0	67818106.5163	31643810.7778	0	0	hcd	30	0	0	1	89.0609101464	780254.625	133.087143482	494372.96875	0	0	0	0	0	0	0	0	0
8252	604.37	11999773	31.348932	2	8250	0	50	0	0	0.0842999999999	0.0842999999999	0	0	0	0	67818105.0025	31643809.3657	0	0	hcd	31	0	0	1	353.130068455	770083	379.086315494	508867.59375	0	0	0	0	0	0	0	0	0
8253	626.38	7925984.5	31.350337	2	8250	0	50	0	0	0.08274	0.08274	0	0	0	0	67818120.9816	31643824.2765	0	0	hcd	30	0	0	1	149.024819588	486332	355.069972513	468343.15625	0	0	0	0	0	0	0	0	0
8254	691.98	7560221	31.351716	2	8250	0	50	0	0	0.0990000000001	0.0990000000001	0	0	0	0	67818122.7614	31643825.9382	0	0	hcd	30	0	0	1	133.087568366	479759.8125	693.421443416	466334.6875	0	0	0	0	0	0	0	0	0
